Units,Maneuvers,Probability,Fill,Avg time,Min Time,Max Time,Solution type,Avg solution,Avg iterations,Avg nodes,Avg cuts Clique,Avg cuts Cover,Avg cuts Disjunctive,Avg cuts Flow cover,Avg cuts Gomory,Avg cuts GUB,Avg cuts zero-half,Avg cuts lift and projects,Total avg cuts
10.0,5.0,1.0,0.5999999999999999,0.01599907875061035,0.015990257263183594,0.016002416610717773,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,1.0,0.7000000000000001,0.01770162582397461,0.015999794006347656,0.01999974250793457,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,1.0,0.7999999999999999,0.01699850559234619,0.014999866485595703,0.018003225326538086,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,1.0,0.9000000000000001,0.018200230598449708,0.015999555587768555,0.022000789642333984,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.5999999999999999,0.09999999999999999,0.010703182220458985,0.009000539779663086,0.012001991271972656,integer optimal solution,2.1,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.5999999999999999,0.19999999999999998,0.02209644317626953,0.014998197555541992,0.03699946403503418,integer optimal solution,3.6,31.4,0.0,1.5,0.0,0.0,0.0,1.1,0.0,4.3,0.5,7.4
10.0,7.0,0.5999999999999999,0.29999999999999993,0.10269608497619628,0.029997825622558594,0.17200112342834473,integer optimal solution,3.1,401.9,0.0,8.0,0.0,0.0,0.0,1.0,0.0,13.7,0.4,23.1
10.0,7.0,0.6,0.4,0.023000240325927734,0.022001981735229492,0.023998498916625977,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.6,0.39999999999999997,0.12449648976325989,0.03200197219848633,0.15700340270996094,integer optimal solution,1.625,476.0,0.0,9.25,0.0,0.0,0.0,0.5,0.0,15.25,0.0,25.0
10.0,7.0,0.5999999999999999,0.5,0.024799871444702148,0.023000240325927734,0.026001930236816406,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.5999999999999999,0.5999999999999999,0.028996586799621582,0.026998519897460938,0.03300213813781738,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.5999999999999999,0.7000000000000001,0.030700302124023436,0.029999256134033203,0.03200244903564453,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.5999999999999999,0.7999999999999999,0.03500330448150635,0.031999826431274414,0.040999412536621094,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.5999999999999999,0.9000000000000001,0.03680920600891113,0.03499937057495117,0.04000210762023926,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,7.0,0.7999999999999999,0.09999999999999999,0.011400508880615234,0.009998083114624023,0.013003826141357422,integer optimal solution,1.6,17.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.3
10.0,7.0,0.7999999999999999,0.19999999999999998,0.01980252265930176,0.01600170135498047,0.026993989944458008,integer optimal solution,2.6,28.2,0.0,1.2,0.0,0.0,0.0,0.4,0.0,3.7,0.3,5.6
10.0,7.0,0.7999999999999999,0.29999999999999993,0.0749929666519165,0.02399897575378418,0.15999650955200195,integer optimal solution,4.5,278.8,0.0,6.3,0.0,0.0,0.0,0.8,0.0,11.0,0.2,18.3
